Error,C,Sigma
0.03,1,0.1
0.035,0.3,0.1
0.035,3,0.1
0.045,0.01,0.1
0.045,0.03,0.1
0.045,0.1,0.1
0.055,0.3,0.3
0.06,0.01,0.03
0.06,0.03,0.03
0.06,0.1,0.03
0.06,0.3,0.03
0.06,30,0.1
0.065,1,0.03
0.065,1,0.3
0.07,10,0.1
0.07,10,0.3
0.07,30,0.3
0.07,30,3
0.075,1,1
0.08,0.1,0.3
0.08,3,0.03
0.08,3,0.3
0.08,10,0.03
0.08,10,1
0.08,30,0.03
0.09,10,3
0.09,30,1
0.095,3,1
0.095,30,10
0.1,0.3,1
0.1,3,3
0.14,0.03,0.3
0.145,0.01,0.3
0.16,1,3
0.17,0.1,1
0.17,10,10
0.18,0.01,1
0.18,0.01,10
0.18,0.01,30
0.18,0.03,1
0.18,0.03,3
0.18,0.03,10
0.18,0.03,30
0.18,0.1,30
0.18,0.3,3
0.18,0.3,30
0.18,1,30
0.18,3,10
0.18,10,30
0.185,0.01,3
0.185,0.1,3
0.185,0.1,10
0.185,0.3,10
0.185,1,10
0.185,3,30
0.185,30,30
0.565,0.01,0.01
0.565,0.03,0.01
0.565,0.1,0.01
0.565,0.3,0.01
0.565,1,0.01
0.565,3,0.01
0.565,10,0.01
0.565,30,0.01
